corridor_key,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct
Giteranyi — Kobero,6,100.0,11.0,1.8333333333333333,6070.926588161902,1011.8210980269837,66.66666666666666,61.11111111111111,100.0,1.0,1.0,891.2735185,33.33333333333333,2.0,2.0,1046.8305555000002,66.66666666666666,2.0,2.0,1044.6897366619016,66.66666666666666,2.0,2.0,1038.1040740000003,66.66666666666666,2.0,2.0,1029.3775925000002,66.66666666666666,2.0,2.0,1020.651111,66.66666666666666
Gihogazi — Nyabikere,6,100.0,6.0,1.0,5881.755290037212,980.2925483395353,33.33333333333333,33.33333333333333,100.0,1.0,1.0,993.8561465,33.33333333333333,1.0,1.0,986.61921975,33.33333333333333,1.0,1.0,984.8438250372124,33.33333333333333,1.0,1.0,979.382293,33.33333333333333,1.0,1.0,972.14536625,33.33333333333333,1.0,1.0,964.9084395,33.33333333333333
Kigamba — Kirehe,6,100.0,9.0,1.5,5650.93008432393,941.821680720655,66.66666666666666,49.99999999999999,100.0,1.0,1.0,216.764784,33.33333333333333,2.0,2.0,1182.634352,66.66666666666666,2.0,2.0,1178.5705003239295,66.66666666666666,2.0,2.0,1166.069136,66.66666666666666,1.0,1.0,957.58696,33.33333333333333,1.0,1.0,949.304352,33.33333333333333
Kinama — Muzinda,6,100.0,16.0,2.6666666666666665,5616.443446948625,936.0739078247708,100.0,88.88888888888887,100.0,2.0,2.0,817.795877,66.66666666666666,3.0,3.0,1098.7182232500002,100.0,3.0,3.0,1094.8370459486243,100.0,3.0,3.0,1082.897631,100.0,3.0,3.0,1067.0770387500002,100.0,2.0,2.0,455.1176309999999,66.66666666666666
Bukeye — Musenyi,6,100.0,11.0,1.8333333333333333,5326.5178831232815,887.7529805205469,100.0,61.11111111111111,100.0,1.0,1.0,213.41314600000007,33.33333333333333,2.0,2.0,1001.3394380000002,66.66666666666666,1.0,1.0,195.8186711232813,33.33333333333333,2.0,2.0,1204.192584,66.66666666666666,2.0,2.0,1175.93573,66.66666666666666,3.0,3.0,1535.818314,100.0
Jene — Rugombo,6,100.0,6.0,1.0,5320.370171876649,886.7283619794415,33.33333333333333,33.33333333333333,100.0,1.0,1.0,224.8608995,33.33333333333333,1.0,1.0,1362.29134925,33.33333333333333,1.0,1.0,193.6411768766489,33.33333333333333,1.0,1.0,1337.221799,33.33333333333333,1.0,1.0,915.27224875,33.33333333333333,1.0,1.0,1287.0826985,33.33333333333333
Giharo — Rubaho,6,100.0,6.0,1.0,5274.707348701621,879.1178914502702,33.33333333333333,33.33333333333333,100.0,1.0,1.0,883.4341145,33.33333333333333,1.0,1.0,881.1311717499999,33.33333333333333,1.0,1.0,880.5662037016218,33.33333333333333,1.0,1.0,878.828229,33.33333333333333,1.0,1.0,876.5252862499999,33.33333333333333,1.0,1.0,874.2223435,33.33333333333333
Gitega — Kinyinya,6,100.0,6.0,1.0,5078.7318755789365,846.4553125964894,33.33333333333333,33.33333333333333,100.0,1.0,1.0,866.9838205000003,33.33333333333333,1.0,1.0,856.0307307500003,33.33333333333333,1.0,1.0,853.3436705789354,33.33333333333333,1.0,1.0,845.0776410000003,33.33333333333333,1.0,1.0,834.1245512500003,33.33333333333333,1.0,1.0,823.1714615000003,33.33333333333333
Rusaka — Rwibaga,6,100.0,12.0,2.0,4670.52561923067,778.420936538445,66.66666666666666,66.66666666666666,100.0,2.0,2.0,789.5616409999998,66.66666666666666,2.0,2.0,783.6174615,66.66666666666666,2.0,2.0,782.1592092306701,66.66666666666666,2.0,2.0,777.673282,66.66666666666666,2.0,2.0,771.7291025,66.66666666666666,2.0,2.0,765.7849229999999,66.66666666666666
Gitobe — Muyinga,6,100.0,6.0,1.0,4595.342757145223,765.8904595242038,33.33333333333333,33.33333333333333,100.0,1.0,1.0,785.0764425,33.33333333333333,1.0,1.0,774.83966375,33.33333333333333,1.0,1.0,772.3283321452235,33.33333333333333,1.0,1.0,764.602885,33.33333333333333,1.0,1.0,754.3661062499999,33.33333333333333,1.0,1.0,744.1293274999999,33.33333333333333
